Australian Bureau of Statistics,,,,,,,,,,
"Table 1. Estimated resident population and components, Local Government Areas, New South Wales",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
10050,Albury,56665,57517,852,1.5,162,265,425,305.6,188.2
10180,Armidale,29361,29594,233,0.8,76,-336,493,7809.4,3.8
10250,Ballina,46849,47279,430,0.9,-91,154,367,485,97.5
10300,Balranald,2210,2202,-8,-0.4,4,-28,16,21690.7,0.1
10470,Bathurst,44110,44612,502,1.1,185,66,251,3817.9,11.7
10500,Bayside (NSW),177992,182987,4995,2.8,1052,-3452,7395,50.6,3614.9
10550,Bega Valley,35985,36279,294,0.8,-60,216,138,6278.5,5.8
10600,Bellingen,13261,13231,-30,-0.2,-47,-54,71,1600.4,8.3
10650,Berrigan,8652,8643,-9,-0.1,-59,-6,56,2065.9,4.2
10750,Blacktown,410944,426202,15258,3.7,3925,2070,9263,238.8,1784.4
10800,Bland,5493,5464,-29,-0.5,17,-67,21,8557.7,0.6
10850,Blayney,7590,7644,54,0.7,38,-8,24,1524.6,5
10900,Blue Mountains,77913,78446,533,0.7,123,-361,771,1431.1,54.8
10950,Bogan,2454,2420,-34,-1.4,5,-49,10,14599.9,0.2
11150,Bourke,2348,2365,17,0.7,25,-14,6,41598.4,0.1
11200,Brewarrina,1431,1411,-20,-1.4,2,-26,4,19162,0.1
11250,Broken Hill,17567,17624,57,0.3,-7,3,61,170.1,103.6
11300,Burwood,40850,42498,1648,4,92,-978,2534,7.1,5962
11350,Byron,36514,37126,612,1.7,94,-61,579,565.8,65.6
11400,Cabonne,13843,13880,37,0.3,16,-20,41,6022.3,2.3
11450,Camden,127808,134811,7003,5.5,1712,3823,1468,201.5,668.9
11500,Campbelltown (NSW),180377,184784,4407,2.4,1655,-75,2827,311.4,593.4
11520,Canada Bay,89236,91385,2149,2.4,399,-1204,2954,19.9,4586.7
11570,Canterbury-Bankstown,372119,379829,7710,2.1,2425,-4675,9960,110.2,3445.6
11600,Carrathool,2829,2765,-64,-2.3,5,-91,22,18934.5,0.1
11650,Central Coast (NSW),349158,351934,2776,0.8,124,-385,3037,1681,209.4
11700,Central Darling,1749,1757,8,0.5,12,-15,11,53492.2,0
11720,Cessnock,65875,67591,1716,2.6,366,1167,183,1965.2,34.4
11730,Clarence Valley,54659,55323,664,1.2,-85,544,205,10428.7,5.3
11750,Cobar,4046,4078,32,0.8,44,-32,20,45575.4,0.1
11800,Coffs Harbour,79725,80489,764,1,79,-105,790,1173.7,68.6
12000,Coolamon,4465,4549,84,1.9,5,68,11,2430.9,1.9
12150,Coonamble,3825,3861,36,0.9,23,6,7,9916.1,0.4
12160,Cootamundra-Gundagai,11403,11424,21,0.2,-20,-25,66,3981.4,2.9
12350,Cowra,12703,12659,-44,-0.3,-70,-8,34,2808.8,4.5
12380,Cumberland,237481,245323,7842,3.3,2282,-4286,9846,72.7,3372.2
12390,Dubbo,55893,56558,665,1.2,369,-92,388,7534.5,7.5
12700,Dungog,9721,9767,46,0.5,-18,44,20,2250,4.3
12730,Edward River,8456,8430,-26,-0.3,-17,-64,55,8883.4,0.9
12750,Eurobodalla,40752,40912,160,0.4,-217,210,167,3428.2,11.9
12850,Fairfield,206830,209742,2912,1.4,564,-2713,5061,101.5,2066.3
12870,Federation,12852,12939,87,0.7,-57,103,41,5684.9,2.3
12900,Forbes,9338,9300,-38,-0.4,31,-92,23,4710.1,2
12930,Georges River,153267,158051,4784,3.1,379,-1894,6299,38.3,4122.6
12950,Gilgandra,4298,4309,11,0.3,5,-11,17,4831.5,0.9
13010,Glen Innes Severn,8944,8989,45,0.5,-15,37,23,5480,1.6
13310,Goulburn Mulwaree,32428,32710,282,0.9,58,-21,245,3220.1,10.2
13340,Greater Hume,11266,11445,179,1.6,9,135,35,5749.4,2
13450,Griffith,27015,27132,117,0.4,172,-465,410,1639.2,16.6
13550,Gunnedah,13143,13280,137,1,69,11,57,4987,2.7
13660,Gwydir,4923,4940,17,0.3,-24,34,7,9259.7,0.5
13800,Hawkesbury,67862,68156,294,0.4,424,-511,381,2775.1,24.6
13850,Hay,2834,2830,-4,-0.1,0,-27,23,11325.9,0.2
13910,Hilltops,19238,19255,17,0.1,3,-63,77,7140.9,2.7
14000,Hornsby,151771,154072,2301,1.5,88,-1457,3670,455,338.6
14100,Hunters Hill,13924,14036,112,0.8,-110,-1,223,5.7,2455.2
14170,Inner West,183153,188325,5172,2.8,667,-1827,6332,35.2,5348.4
14220,Inverell,17965,18059,94,0.5,17,-34,111,9404.8,1.9
14300,Junee,6465,6520,55,0.9,17,-38,76,2030,3.2
14350,Kempsey,31178,31453,275,0.9,-14,147,142,3375.7,9.3
14400,Kiama,22964,23002,38,0.2,-32,-97,167,257.7,89.3
14500,Ku-ring-gai,124205,126983,2778,2.2,-138,-645,3561,85.4,1486.8
14550,Kyogle,9452,9468,16,0.2,-2,-14,32,3584.2,2.6
14600,Lachlan,6138,6147,9,0.1,19,-28,18,14968.3,0.4
14650,Lake Macquarie,216594,219249,2655,1.2,233,1316,1106,648.6,338
14700,Lane Cove,40088,41549,1461,3.6,371,-156,1246,10.5,3965
14750,Leeton,11454,11431,-23,-0.2,36,-120,61,1167.2,9.8
14850,Lismore,44274,43907,-367,-0.8,126,-740,247,1287.7,34.1
14870,Lithgow,20811,20724,-87,-0.4,-13,-154,80,4512.3,4.6
14900,Liverpool,239774,247672,7898,3.3,2048,1709,4141,305.7,810.1
14920,Liverpool Plains,7659,7667,8,0.1,10,-16,14,5082.2,1.5
14950,Lockhart,3370,3396,26,0.8,-5,23,8,2895.8,1.2
15050,Maitland,93614,95957,2343,2.5,743,1202,398,391.5,245.1
15240,Mid-Coast,97227,97909,682,0.7,-502,857,327,10053.9,9.7
15270,Mid-Western,25795,25921,126,0.5,70,-53,109,8752.3,3
15300,Moree Plains,12868,12873,5,0,108,-139,36,17902.7,0.7
15350,Mosman,28132,29071,939,3.3,44,-108,1003,8.7,3360.7
15520,Murray River,13014,13326,312,2.4,-35,285,62,11863,1.1
15560,Murrumbidgee,3566,3607,41,1.1,22,-7,26,6880.8,0.5
15650,Muswellbrook,16540,16778,238,1.4,106,26,106,3404.9,4.9
15700,Nambucca Valley,20607,20774,167,0.8,-65,171,61,1491.3,13.9
15750,Narrabri,12720,12754,34,0.3,65,-69,38,13015,1
15800,Narrandera,5720,5692,-28,-0.5,-27,-31,30,4116.3,1.4
15850,Narromine,6429,6443,14,0.2,36,-40,18,5261.5,1.2
15900,Newcastle,171535,174294,2759,1.6,243,-125,2641,186.7,933.4
15950,North Sydney,69373,72014,2641,3.8,535,-921,3027,10.5,6864.4
15990,Northern Beaches,263340,267921,4581,1.7,683,-2308,6206,254.2,1053.9
16100,Oberon,5596,5600,4,0.1,-9,-4,17,3625,1.5
16150,Orange,43964,44244,280,0.6,202,-237,315,284.2,155.7
16200,Parkes,14346,14256,-90,-0.6,4,-153,59,5957.6,2.4
16260,Parramatta,260472,269145,8673,3.3,1830,-5528,12371,83.8,3210.6
16350,Penrith,220915,224483,3568,1.6,1786,-526,2308,404.7,554.7
16380,Port Macquarie-Hastings,88305,89596,1291,1.5,-379,1201,469,3682.4,24.3
16400,Port Stephens,76669,77748,1079,1.4,44,569,466,858.4,90.6
16490,Queanbeyan-Palerang,64236,65369,1133,1.8,618,-151,666,5319,12.3
16550,Randwick,135750,141840,6090,4.5,590,-3023,8523,36.3,3904.1
16610,Richmond Valley,23700,23705,5,0,22,-112,95,3047.4,7.8
16700,Ryde,131168,135716,4548,3.5,620,-1814,5742,40.5,3353.1
16900,Shellharbour,78330,79738,1408,1.8,391,619,398,147.4,540.9
16950,Shoalhaven,109604,109895,291,0.3,-192,-94,577,4567.2,24.1
17000,Singleton,25093,25332,239,1,144,-38,133,4892.7,5.2
17040,Snowy Monaro,21823,22132,309,1.4,35,44,230,15164.8,1.5
17080,Snowy Valleys,14936,14935,-1,0,-25,-59,83,8958.9,1.7
17100,Strathfield,46250,47824,1574,3.4,295,-1233,2512,14,3415.8
17150,Sutherland,231845,235029,3184,1.4,766,-303,2721,333.6,704.6
17200,Sydney,218275,231086,12811,5.9,1104,-6440,18147,26.7,8662.6
17310,Tamworth,64520,65246,726,1.1,306,-97,517,9884.4,6.6
17350,Temora,5995,6029,34,0.6,14,1,19,2802,2.2
17400,Tenterfield,6878,6973,95,1.4,-25,96,24,7324.3,1
17420,The Hills,199269,207959,8690,4.4,969,3665,4056,386.2,538.5
17550,Tweed,97966,98967,1001,1,-215,440,776,1307.8,75.7
17620,Upper Hunter,14291,14338,47,0.3,19,-73,101,8096.1,1.8
17640,Upper Lachlan,8550,8706,156,1.8,-8,133,31,7127.4,1.2
17650,Uralla,5984,6047,63,1.1,7,31,25,3226.5,1.9
17750,Wagga Wagga,68338,68716,378,0.6,464,-647,561,4824.5,14.2
17850,Walcha,3010,2968,-42,-1.4,-16,-33,7,6261,0.5
17900,Walgett,5515,5519,4,0.1,41,-54,17,22308.3,0.2
17950,Warren,2578,2583,5,0.2,2,-7,10,10753.8,0.2
18020,Warrumbungle,9245,9228,-17,-0.2,-24,-28,35,12372.1,0.7
18050,Waverley,69357,71414,2057,3,479,-1579,3157,9.4,7637.4
18100,Weddin,3614,3616,2,0.1,-20,-1,23,3414.9,1.1
18200,Wentworth,7596,7688,92,1.2,11,66,15,26255.9,0.3
18250,Willoughby,75508,77874,2366,3.1,113,-1341,3594,22.4,3472.5
18350,Wingecarribee,52795,53109,314,0.6,-77,-45,436,2689.3,19.7
18400,Wollondilly,55801,57616,1815,3.3,498,968,349,2555.4,22.5
18450,Wollongong,216444,219141,2697,1.2,486,-691,2902,684.3,320.2
18500,Woollahra,53525,54660,1135,2.1,116,-910,1929,12.3,4459
18710,Yass Valley,17379,17477,98,0.6,18,-20,100,3995,4.4
19399,Unincorporated NSW,1000,1013,13,1.3,8,0,5,93208.9,0
,Total New South Wales,8166704,8342285,175581,2.1,32599,-34158,177140,800797.7,10.4
© Commonwealth of Australia,,,,,,,,,,
